<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">an occupation</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une profession</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the professions</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les professions libérales</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a post, a position</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un poste</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a career</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une carrière</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">an executive</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un cadre</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a top executive</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un cadre supérieur</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a freelance</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un travailleur indépendant</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to have a job</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">exercer un métier</div>;ANGLAIS::niveau::A1 ANGLAIS::type::verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to be employed (in a company)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">travailler (pour une entreprise)</div><br><div class="note">-- Note --<br><br>be, was/were, been</div>;ANGLAIS::niveau::B1 ANGLAIS::type::irr-verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to work (as)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">travailler (comme)</div>;ANGLAIS::niveau::A1 ANGLAIS::type::verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to hold a post/a position (as…)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">occuper un poste (en qualité de…)</div><br><div class="note">-- Note --<br><br>hold, held, held</div>;ANGLAIS::niveau::B2 ANGLAIS::type::irr-verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to be in charge of</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">être responsable de</div><br><div class="note">-- Note --<br><br>be, was/were, been</div>;ANGLAIS::niveau::B1 ANGLAIS::type::irr-verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to earn a living</div>;<div class="theme">Thème : Work > The-job-market > Employment > Being-in-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">gagner sa vie</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Work::The-job-market::Employment::Being-in-Work
